name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF01676,poisson,inferredtree,-6339.0981,53,12784.1963,12859.5121,12936.1756,10,4,14.169591804500001
PF01676,poisson,optimizedtruetree,-6354.0723,53,12814.1445,12889.4603,12966.1238,0,10,14.399444822800001
PF01676,q2,optimizedtruetree,-5909.6822,54,11927.3643,12006.5643,12082.2112,0,10,18.763530851399995
PF01676,q3,optimizedtruetree,-5970.5019,72,12085.0037,12269.4248,12291.4662,0,10,17.4948066326
PF01676,q5,optimizedtruetree,-6639.8379,53,13385.6757,13460.9915,13537.6550,0,10,34.3410749565
PF01676,q1,optimizedtruetree,-5772.1527,55,11654.3055,11737.5487,11812.0199,0,10,17.3421129451
PF01676,q4,optimizedtruetree,-6140.4573,72,12424.9145,12609.3356,12631.3770,0,10,19.4644726296
PF01676,q5,inferredtree,-6615.1360,53,13336.2721,13411.5879,13488.2514,12,16,34.1436642187
PF01676,q4,inferredtree,-6126.4748,72,12396.9495,12581.3706,12603.4120,14,10,19.1877360047
PF01676,q2,inferredtree,-5897.0184,54,11902.0368,11981.2368,12056.8836,16,10,18.01061648869999
PF01676,q3,inferredtree,-5961.4571,72,12066.9141,12251.3352,12273.3766,14,8,17.358043809299996
PF01676,q1,inferredtree,-5764.1025,55,11638.2049,11721.4481,11795.9193,10,0,17.0605833174
PF00756,q4,optimizedtruetree,-11812.6871,39,23703.3742,23713.8793,23852.3574,0,8,22.07780172250001
PF00756,q1,optimizedtruetree,-11274.4425,41,22630.8851,22642.5596,22787.5085,0,8,20.803489414799998
PF00756,q5,optimizedtruetree,-12561.3141,39,25200.6281,25211.1332,25349.6114,0,8,48.63756282520001
PF00756,q4,inferredtree,-11812.6868,39,23703.3735,23713.8786,23852.3567,0,8,22.0721687652
PF00756,q5,inferredtree,-12557.9572,39,25193.9144,25204.4194,25342.8976,6,8,48.274668641599995
PF00756,q1,inferredtree,-11272.1436,41,22626.2872,22637.9618,22782.9106,8,0,20.8648099923
PF00756,q3,inferredtree,-11454.8910,59,23027.7821,23053.3417,23253.1670,2,6,18.363836934000005
PF00756,q3,optimizedtruetree,-11456.2770,59,23030.5540,23056.1135,23255.9388,0,8,18.389394343699994
PF00756,q2,inferredtree,-11393.8046,40,22867.6092,22878.6903,23020.4126,2,6,16.2801870949
PF00756,poisson,inferredtree,-12090.6050,39,24259.2100,24269.7150,24408.1932,12,6,13.806566467000001
PF00756,q2,optimizedtruetree,-11396.6371,40,22873.2743,22884.3554,23026.0776,0,8,16.302971472699998
PF00756,poisson,optimizedtruetree,-12101.6189,39,24281.2377,24291.7428,24430.2209,0,8,13.818428933700002
PF05188,q2,optimizedtruetree,-12697.4466,103,25600.8931,25795.6567,25947.5886,0,24,36.9330547334
PF05188,poisson,inferredtree,-13719.3006,83,27604.6012,27711.8628,27883.9773,40,36,31.1308377283
PF05188,q3,optimizedtruetree,-12796.9569,103,25799.9137,25994.6773,26146.6092,0,24,42.92710091969998
PF05188,poisson,optimizedtruetree,-13734.7640,83,27635.5280,27742.7896,27914.9040,0,24,31.3099450287
PF05188,q1,optimizedtruetree,-12580.2316,84,25328.4632,25439.1609,25611.2052,0,24,57.75085276699999
PF05188,q5,optimizedtruetree,-13819.8560,84,27807.7121,27918.4098,28090.4541,0,24,97.17835092399999
PF05188,q5,inferredtree,-13799.2590,84,27766.5180,27877.2156,28049.2599,38,40,96.01766197419997
PF05188,q4,inferredtree,-13095.9718,84,26359.9437,26470.6414,26642.6857,26,32,50.52783790569999
PF05188,q1,inferredtree,-12575.4093,84,25318.8186,25429.5163,25601.5606,24,0,58.62679278100001
PF05188,q4,optimizedtruetree,-13113.3236,84,26394.6472,26505.3449,26677.3892,0,24,50.1327453411
PF05188,q2,inferredtree,-12685.7045,103,25577.4091,25772.1727,25924.1046,26,36,37.01596716819999
PF05188,q3,inferredtree,-12783.1881,103,25772.3761,25967.1398,26119.0717,28,38,42.73480354030001
PF07732,q5,optimizedtruetree,-24593.9363,257,49701.8726,182313.8726,50440.7983,0,76,90.72386472919996
PF07732,q1,optimizedtruetree,-21108.6750,259,42735.3499,177415.3499,43480.0261,0,76,58.52838843310001
PF07732,q2,inferredtree,-21526.2353,277,43606.4706,197618.4706,44402.9002,74,46,52.88641902939999
PF07732,q3,inferredtree,-21975.7480,276,44503.4960,197407.4960,45297.0504,92,124,53.77503373079999
PF07732,q1,inferredtree,-21074.2539,259,42666.5079,177346.5079,43411.1840,76,0,58.544307085799986
PF07732,q4,optimizedtruetree,-22635.7796,258,45787.5593,179431.5593,46529.3602,0,76,94.73104648039997
PF07732,q5,inferredtree,-24496.9314,257,49507.8629,182119.8629,50246.7886,98,132,90.76482441759998
PF07732,q4,inferredtree,-22582.2648,258,45680.5296,179324.5296,46422.3305,72,98,94.1913002592
PF07732,poisson,inferredtree,-23854.2409,257,48222.4818,180834.4818,48961.4075,78,94,45.3317050144
PF07732,q2,optimizedtruetree,-21566.1855,277,43686.3709,197698.3709,44482.8006,0,76,53.12043507089996
PF07732,q3,optimizedtruetree,-22022.6625,276,44597.3249,197501.3249,45390.8794,0,76,54.046345206500035
PF07732,poisson,optimizedtruetree,-23947.3782,257,48408.7565,181020.7565,49147.6822,0,76,45.8249975993
PF02210,q5,optimizedtruetree,-67594.5398,468,136125.0795,575109.0795,137814.3123,0,176,372.1803203952999
PF02210,q1,optimizedtruetree,-60927.8154,487,122829.6308,598141.6308,124587.4435,0,176,152.96118742689995
PF02210,q4,optimizedtruetree,-63732.8935,487,128439.7870,603751.7870,130197.5997,0,176,225.85136616469993
PF02210,q2,optimizedtruetree,-61588.4161,468,124112.8323,563096.8323,125802.0651,0,176,257.82112001070004
